longitude,latitude,nu4_5,Observed Count,Smoothed Rate,ratio
62.6,28.1,0.0114,0,0.0050293,0.4411666666666666
62.6,28.2,0.0088,0,0.0038612,0.43877272727272726
62.6,28.3,0.0064,0,0.0027973,0.437078125
62.6,28.4,0.0043,0,0.0019121,0.4446744186046511
62.6,28.5,0.0028,0,0.0012347,0.44096428571428575
62.6,28.6,0.0017,0,0.0007579,0.44582352941176473
62.6,28.7,0.001,0,0.0004463,0.4463
62.6,28.8,0.0006,0,0.000261,0.43500000000000005
62.6,28.9,0.0004,0,0.0001642,0.4105
62.6,29.0,0.0003,0,0.0001262,0.42066666666666674
62.6,29.1,0.0003,0,0.0001263,0.42100000000000004
62.6,29.2,0.0003,0,0.0001512,0.504
62.6,29.3,0.0004,0,0.0001921,0.48025
62.6,29.4,0.0006,0,0.0002428,0.4046666666666667
62.6,29.5,0.0007,0,0.0002966,0.4237142857142857
